"GEOID","suffix","n"
"19137","ST",382
"19139","ST",703
"19141","ST",286
"19143","ST",174
"19145","ST",620
"19147","ST",325
"19149","ST",348
"19151","ST",299
"19153","ST",2840
"19155","ST",987
"19157","ST",585
"19159","ST",363
"19161","ST",427
"19163","ST",1553
"19165","ST",375
"19167","ST",346
"19169","ST",699
"19171","ST",639
"19173","ST",419
"19175","ST",443
"19177","ST",425
"19179","ST",624
"19181","ST",729
"19183","ST",453
"19185","ST",454
"19187","ST",648
"19189","ST",233
"19191","ST",400
"19193","ST",1332
"19195","ST",244
"19197","ST",293
"20001","ST",581
"20003","RD",534
"20005","RD",459
"20007","RD",312
"20009","ST",404
"20011","ST",635
"20013","ST",439
"20015","ST",999
"20017","RD",293
"20019","ST",191
"20021","ST",611
"20023","ST",76
"20025","ST",123
"20027","RD",251
"20029","RD",373
"20031","ST",343
"20033","ST",79
"20035","RD",741
"20037","ST",982
"20039","RD",98
"20041","ST",466
"20043","RD",403
"20045","RD",1100
"20047","AVE",173
"20049","ST",204
"20051","ST",394
"20053","RD",186
"20055","RD",338
"20057","RD",492
"20059","ST",386
"20061","ST",237
"20063","ST",117
"20065","AVE",247
"20067","ST",97
"20069","RD",211
"20071","RD",61
"20073","ST",727
"20075","ST",80
"20077","AVE",264
"20079","ST",494
"20081","AVE",54
"20083","RD",265
"20085","RD",409
"20087","ST",536
"20089","RD",374
"20091","ST",7402
"20093","ST",63
"20095","ST",379
"20097","ST",333
"20099","RD",397
"20101","RD",80
"20103","ST",1185
"20105","RD",113
"20107","RD",499
"20109","AVE",59
"20111","ST",367
"20113","ST",475
"20115","ST",529
"20117","RD",426
"20119","RD",291
"20121","ST",610
"20123","RD",329
"20125","ST",784
"20127","ST",254
"20129","ST",74
"20131","RD",681
"20133","RD",312
"20135","RD",372
"20137","ST",119
"20139","ST",602
"20141","AVE",255
"20143","RD",445
"20145","ST",126
"20147","RD",411
"20149","RD",562
"20151","ST",355
"20153","ST",57
"20155","RD",758
"20157","RD",225
"20159","ST",207
"20161","RD",481
"20163","RD",316
"20165","ST",142
"20167","ST",513
"20169","RD",533
"20171","RD",101
"20173","ST",4427
"20175","RD",143
"20177","ST",1464
"20179","S",142
"20181","ST",73
"20183","RD",374
"20185","ST",197
"20187","AVE",43
"20189","ST",110
"20191","ST",517
"20193","ST",132
"20195","AVE",169
"20197","RD",401
"20199","RD",120
"20201","RD",366
"20203","ST",113
"20205","RD",553
"20207","RD",378
"20209","ST",2220
"21001","RD",1135
"21003","RD",632
"21005","RD",223
"21007","RD",280
"21009","RD",772
"21011","RD",408
"21013","RD",1084
"21015","DR",704
"21017","RD",194
"21019","ST",526
"21021","RD",218
"21023","RD",240
"21025","RD",563
"21027","RD",879
"21029","DR",532
"21031","RD",714
"21033","RD",514
"21035","DR",635
"21037","DR",340
"21039","RD",100
"21041","RD",126
"21043","RD",1097
"21045","RD",589
"21047","RD",789
"21049","LN",227
"21051","RD",895
"21053","RD",404
"21055","RD",490
"21057","RD",648
"21059","RD",475
"21061","RD",462
"21063","RD",542
"21065","RD",523
"21067","DR",1028
"21069","RD",345
"21071","RD",845
"21073","DR",326
"21075","ST",157
"21077","RD",108
"21079","RD",313
"21081","RD",297
"21083","RD",586
"21085","RD",847
"21087","RD",752
"21089","RD",807
"21091","RD",198
"21093","CT",575
"21095","RD",1088
"21097","RD",283
"21099","RD",574
"21101","RD",380
"21103","RD",307
"21105","RD",282
"21107","RD",553
"21109","RD",661
"21111","CT",2639
"21113","DR",379
"21115","RD",526
"21117","DR",821
"21119","RD",511
"21121","RD",856
"21123","RD",400
"21125","RD",1366
"21127","RD",634
"21129","RD",532
"21131","RD",555
"21133","RD",782
"21135","RD",416
"21137","RD",477
"21139","RD",407
"21141","RD",955
"21143","RD",357
"21145","DR",488
"21147","RD",1426
"21149","RD",202
"21151","DR",831
"21153","RD",921
"21155","RD",454
"21157","RD",631
"21159","RD",412
"21161","RD",181
"21163","RD",443
"21165","RD",403
"21167","RD",233
"21169","RD",550
"21171","RD",649
"21173","DR",200
"21175","RD",969
