"GEOID","suffix","n","proportion"
"13033","RD",506,0.4430823117338
"13035","RD",365,0.429917550058893
"13037","RD",137,0.253703703703704
"13039","RD",445,0.180161943319838
"13043","RD",327,0.46056338028169
"13045","RD",802,0.259883344134802
"13047","LN",828,0.323563892145369
"13049","RD",357,0.359516616314199
"13051","ST",1224,0.194966549856642
"13053","RD",262,0.392215568862275
"13055","RD",437,0.342476489028213
"13057","DR",1236,0.200584225900682
"13059","DR",557,0.225141471301536
"13061","RD",163,0.304672897196262
"13063","DR",1198,0.250522793810121
"13065","RD",345,0.448634590377113
"13067","DR",2862,0.147822943029802
"13069","RD",962,0.391056910569106
"13071","RD",628,0.380606060606061
"13073","DR",771,0.24452901998097
"13075","RD",312,0.302032913843175
"13077","DR",736,0.204160887656033
"13079","RD",221,0.389770723104056
"13081","RD",309,0.382425742574257
"13083","RD",271,0.263362487852284
"13085","RD",398,0.259960809928152
"13087","RD",571,0.399300699300699
"13089","DR",2161,0.180459290187891
"13091","RD",465,0.397775876817793
"13093","RD",395,0.436946902654867
"13095","AVE",437,0.199634536317953
"13097","DR",829,0.250756200846945
"13099","RD",351,0.366771159874608
"13101","RD",229,0.518099547511312
"13103","DR",452,0.228282828282828
"13105","RD",427,0.35
"13107","RD",586,0.4
"13109","RD",364,0.349663784822286
"13111","RD",1011,0.304977375565611
"13113","DR",538,0.175301401107853
"13115","ST",376,0.137326515704894
"13117","DR",1204,0.234286826230784
"13119","RD",586,0.376364804110469
"13121","DR",2085,0.117325980530077
"13123","RD",934,0.268622375611159
"13125","RD",178,0.599326599326599
"13127","DR",675,0.17781875658588
"13129","SE",357,0.180851063829787
"13131","RD",266,0.248830682881197
"13133","RD",383,0.295296838858905
"13135","CT",2642,0.160043615216865
"13137","RD",661,0.25452445128995
"13139","DR",1349,0.254240482472672
"13141","RD",499,0.495531281032771
"13143","RD",579,0.421090909090909
"13145","RD",414,0.276184122748499
"13147","RD",875,0.424963574550753
"13149","RD",306,0.674008810572687
"13151","DR",1207,0.225776281331837
"13153","DR",998,0.252020202020202
"13155","RD",344,0.389140271493213
"13157","RD",624,0.228739002932551
"13159","RD",354,0.398200224971879
"13161","RD",485,0.476892822025565
"13163","RD",379,0.337488869100623
"13165","RD",354,0.547987616099071
"13167","RD",285,0.541825095057034
"13169","RD",382,0.339253996447602
"13171","RD",269,0.446102819237148
"13173","RD",254,0.334650856389987
"13175","RD",761,0.271785714285714
"13177","RD",186,0.220640569395018
"13179","RD",488,0.241106719367589
"13181","RD",226,0.374792703150912
"13183","RD",329,0.318181818181818
"13185","DR",630,0.202377128172181
"13187","RD",597,0.292647058823529
"13189","RD",250,0.325945241199478
"13191","RD",354,0.261447562776957
"13193","RD",345,0.397008055235903
"13195","RD",639,0.480812641083521
"13197","RD",256,0.381520119225037
"13199","RD",477,0.42627345844504
"13201","RD",242,0.568075117370892
"13205","RD",364,0.383966244725738
"13207","RD",338,0.331047992164545
"13209","RD",210,0.275229357798165
"13211","RD",272,0.379888268156425
"13213","RD",419,0.410381978452498
"13215","DR",1181,0.312433862433862
"13217","DR",452,0.161198288159772
"13219","RD",346,0.224967490247074
"13221","RD",393,0.486988847583643
"13223","DR",850,0.193050193050193
"13225","RD",253,0.25922131147541
"13227","RD",498,0.250755287009063
"13229","RD",452,0.396839332748025
"13231","RD",349,0.5453125
"13233","RD",558,0.381408065618592
"13235","RD",308,0.395886889460154
"13237","DR",212,0.208251473477407
"13239","RD",118,0.355421686746988
"13241","LN",1204,0.452631578947368
"13243","RD",234,0.332859174964438
"13245","DR",1183,0.219970249163258
"13247","SE",654,0.303058387395737
"13249","RD",143,0.438650306748466
"13251","RD",420,0.519159456118665
"13253","RD",210,0.319148936170213
"13255","RD",412,0.257178526841448
"13257","RD",627,0.33104540654699
"13259","RD",196,0.411764705882353
"13261","RD",351,0.272727272727273
"13263","RD",311,0.479938271604938
"13265","RD",63,0.286363636363636
"13267","RD",826,0.377859103385178
"13269","RD",399,0.436542669584245
"13271","RD",258,0.256972111553785
"13273","RD",208,0.284541723666211
"13275","ST",574,0.278505579815623
"13277","RD",531,0.294019933554817
"13279","RD",502,0.38001514004542
"13281","RD",536,0.359249329758713
"13283","RD",272,0.331707317073171
"13285","RD",444,0.236170212765957
"13287","RD",264,0.403053435114504
"13289","RD",274,0.472413793103448
"13291","RD",972,0.279712230215827
"13293","RD",345,0.357142857142857
"13295","RD",650,0.244821092278719
"13297","DR",468,0.203301476976542
"13299","ST",494,0.258098223615465
"13301","RD",203,0.335537190082645
"13303","RD",404,0.401590457256461
"13305","RD",587,0.379935275080906
"13307","RD",181,0.441463414634146
"13309","RD",174,0.317518248175182
"13311","DR",669,0.316911416390336
"13313","DR",896,0.269392663860493
"13315","RD",309,0.355990783410138
"13317","RD",262,0.398176291793313
"13319","RD",299,0.464285714285714
"13321","RD",438,0.429833169774289
"15001","ST",1416,0.270901090491678
"15003","ST",3802,0.380504403522818
"15005","ST",19,0.612903225806452
"15007","RD",605,0.415236787920384
"15009","PL",1162,0.37949052906597
"16001","ST",3336,0.222015173698922
"16003","RD",239,0.318666666666667
"16005","RD",579,0.250432525951557
"16007","RD",229,0.305333333333333
"16009","RD",339,0.326275264677575
"16011","RD",691,0.314663023679417
"16013","RD",457,0.27299880525687
"16015","RD",677,0.371365880416895
"16017","RD",1483,0.384097384097384
"16019","DR",765,0.210627753303965
"16021","RD",482,0.365151515151515
"16023","N",70,0.209580838323353
"16025","RD",120,0.272108843537415
"16027","ST",1011,0.161166905786705
"16029","RD",388,0.482587064676617
"16031","RD",295,0.238287560581583
"16033","RD",167,0.542207792207792
"16035","RD",459,0.373170731707317
"16037","RD",317,0.370760233918129
"16039","RD",645,0.283641160949868
"16041","RD",164,0.236994219653179
"16043","RD",478,0.248828735033837
"16045","RD",137,0.238675958188153
"16047","E",166,0.230555555555556
"16049","RD",1007,0.420459290187891
"16051","N",380,0.332167832167832
"16053","E",177,0.191144708423326
"16055","RD",1521,0.230804248861912
